Date,Title,Url
"Dec 24, 2018",What happens when Alexa gets too smart or too human?,https://www.japantimes.co.jp/news/2018/12/24/business/tech/kill-foster-parents-amazons-alexa-talks-murder-sex-ai-chatbot-experiment/
"Dec 24, 2018",Huawei gear pulled from $3 billion U.K. police phone network,https://www.japantimes.co.jp/news/2018/12/24/business/tech/huawei-gear-pulled-3-billion-u-k-police-phone-network/
"Dec 18, 2018","Lovot, Japan's new touchy-feely family robot, aims to spread a little love",https://www.japantimes.co.jp/news/2018/12/18/business/tech/lovot-japans-new-family-robot-eye-detail-hopes-spread-love/
"Dec 17, 2018",Seven-Eleven tries out a store in Tokyo with unmanned payment system,https://www.japantimes.co.jp/news/2018/12/17/business/tech/seven-eleven-tries-store-tokyo-unmanned-payment-system/
"Dec 17, 2018",Japanese electronics firms look to re-engineer their design mojo,https://www.japantimes.co.jp/news/2018/12/17/business/tech/japanese-electronics-firms-look-re-engineer-design-mojo/
"Dec 17, 2018","After delays, U.S. Air Force set to launch jamming-resistant first next-generation GPS satellite",https://www.japantimes.co.jp/news/2018/12/17/business/tech/delays-u-s-air-force-set-launch-jamming-resistant-first-next-generation-gps-satellite/
"Dec 16, 2018",5G: A costly revolution not without risks,https://www.japantimes.co.jp/news/2018/12/16/business/tech/5g-costly-revolution-not-without-risks/
"Dec 15, 2018",Bug may have exposed photos from 7 million Facebook users,https://www.japantimes.co.jp/news/2018/12/15/business/tech/bug-may-exposed-photos-7-million-facebook-users/
"Dec 15, 2018",World's first test aimed at avoiding drone collisions held in Fukushima,https://www.japantimes.co.jp/news/2018/12/15/business/tech/worlds-first-test-aimed-avoiding-drone-collisions-held-fukushima/
"Dec 15, 2018",'Pokemon Go' maker Niantic is seeking a $3.9 billion valuation: source,https://www.japantimes.co.jp/news/2018/12/15/business/tech/pokemon-go-maker-niantic-seeking-3-9-billion-valuation-source/
"Dec 14, 2018","Virgin Galactic rocket ship reaches space in test flight, setting stage for tourists to boldly go",https://www.japantimes.co.jp/news/2018/12/14/business/tech/virgin-galactic-rocket-ship-reaches-space-test-flight-setting-stage-tourists-boldly-go/
"Dec 13, 2018","Inside Huawei's secret research HQ, China is shaping a future that's less reliant on U.S. tech",https://www.japantimes.co.jp/news/2018/12/13/business/tech/inside-huaweis-secret-research-hq-china-shaping-future-thats-less-reliant-u-s-tech/
"Dec 12, 2018",Tech execs get a preview of the coming U.S. House Democratic agenda as Google CEO testifies,https://www.japantimes.co.jp/news/2018/12/12/business/tech/tech-execs-get-preview-coming-u-s-house-democratic-agenda-google-ceo-testifies/
"Dec 12, 2018",A nose for speed: East Japan Railway unveils test version of 360 kph ALFA-X bullet train with dueling noses,https://www.japantimes.co.jp/news/2018/12/12/business/tech/east-japan-railway-unveils-new-360-kph-alfa-x-bullet-train/
"Dec 11, 2018",Mistrust of Huawei around the world imperils China's ambitions to lead tech revolution,https://www.japantimes.co.jp/news/2018/12/11/business/tech/mistrust-huawei-around-world-imperils-chinas-ambitions-lead-tech-revolution/
"Dec 11, 2018",Lawson tests fried chicken-dispensing robot in Tokyo,https://www.japantimes.co.jp/news/2018/12/11/business/tech/lawson-tests-fried-chicken-dispensing-robot-tokyo/
"Dec 7, 2018",Ericsson boss apologizes for 'faulty software' behind huge SoftBank service disruption,https://www.japantimes.co.jp/news/2018/12/07/business/tech/ericsson-boss-apologizes-faulty-software-behind-huge-softbank-service-disruption/
"Dec 7, 2018",Japan to exclude Huawei and ZTE from public procurement: source,https://www.japantimes.co.jp/news/2018/12/07/business/tech/japan-exclude-huawei-zte-public-procurement-source/
"Dec 7, 2018",The answer is blowing in the wind: Shipping firms eye high-tech sails in bid to go green,https://www.japantimes.co.jp/news/2018/12/07/business/tech/answer-blowing-wind-shipping-firms-eye-high-tech-sails-bid-go-green/
"Dec 6, 2018","Google's self-driving spinoff launches ride-hailing service, with human aboard for now",https://www.japantimes.co.jp/news/2018/12/06/business/tech/googles-self-driving-spinoff-launches-ride-hailing-service-now-human-aboard/
"Dec 6, 2018",Russian tech giant Yandex unveils first smartphone to defend position against Google,https://www.japantimes.co.jp/news/2018/12/06/business/tech/russian-tech-giant-yandex-unveils-first-smartphone-defend-position-google/
"Dec 6, 2018",Britain's BT pulls plug on Huawei in core 4G cellular network amid security concerns,https://www.japantimes.co.jp/news/2018/12/06/business/tech/britains-bt-pulls-plug-huawei-core-4g-cellular-network-amid-security-concerns/
"Dec 5, 2018",Toyota launches sensor-based device designed to prevent accidents caused by the misapplication of pedals,https://www.japantimes.co.jp/news/2018/12/05/business/tech/toyota-launches-sensor-based-device-designed-prevent-accidents-caused-misapplication-pedals/
"Dec 4, 2018",Japan Display unveils smart bus stop that runs on solar power and can display schedules,https://www.japantimes.co.jp/news/2018/12/04/business/tech/japan-display-unveils-smart-bus-stop-runs-solar-power-can-display-schedules/
"Dec 4, 2018",Aibo put to work at Tokyo hospital to improve the mental health of children,https://www.japantimes.co.jp/news/2018/12/04/business/tech/aibo-put-work-tokyo-hospital-improve-mental-health-children/
"Dec 4, 2018",Spy boss says U.K. must decide if Huawei is suitable for 5G network,https://www.japantimes.co.jp/news/2018/12/04/business/tech/spy-boss-says-u-k-must-decide-huawei-suitable-5g-network/
"Dec 3, 2018",Turning the page on an era: Pager services to end in Japan after 50 years,https://www.japantimes.co.jp/news/2018/12/03/business/tech/pager-services-end-japan-50-years/
"Nov 30, 2018",Hitachi and Uber take part in huge London trial aiming to crack electric-car charger shortfall,https://www.japantimes.co.jp/news/2018/11/30/business/tech/uber-hitachi-among-players-huge-london-trial-aiming-crack-electric-car-charger-shortfall/
"Nov 28, 2018",China's opening of human gene engineering 'Pandora's box' seen as symptom of unbridled tech quest,https://www.japantimes.co.jp/news/2018/11/28/business/tech/chinas-opening-human-gene-engineering-pandoras-box-seen-symptom-unbridled-tech-quest/
