Date,Title,Content,Url
2018/12/28 17:08,High-speed internet to be available in rural areas from 2020 ,"High-speed internet services will be extended to people living in remote regions after the government decided to give everyone in Korea internet access, the science ministry said Friday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_261131.html
2018/12/27 17:59,"Naver, Kakao face growing union risks ","Naver and Kakao, both expecting to grapple with slowing sales growth in 2019, are scrambling to deal with growing union risks as union workers become more outspoken and make greater demands, according to industry analysts Thursday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_261068.html
2018/12/26 17:42,Samsung employees volunteer to help neighbors during year-end season ,"Samsung Electronics employees have implemented a series of volunteering activities for people who need support and care during the year-end season, the firm said Wednesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260999.html
2018/12/26 17:41,Huawei seeks to become responsible community member ,"Huawei Technologies is a global leading network equipment firm, providing its products to over 170 countries. As an industry leading firm, Huawei said it will continue to comply with laws and regulations in countries where it operates its business, the firm said Wednesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260994.html
2018/12/25 17:05,LG Uplus CEO to attend CES to scout new biz chances ,"LG Uplus CEO and Vice Chairman Ha Hyun-hwoi will attend the Consumer Electronics Show in Las Vegas in early January to seek a future growth engine for the next 10 years, the telecommunications firm said Tuesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260953.html
2018/12/25 17:04,First 5G barista robot cafe opens in Gangnam ,"KT has applied fifth-generation (5G) network technology to a barista robot at an unmanned cafe near Gangnam Station in southern Seoul, the telecommunications firm said Tuesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260950.html
2018/12/24 17:11,"Samsung, LG wooing students with new laptops this Christmas season ",Samsung Electronics and LG Electronics have been competitively releasing new laptops to attract student customers over Christmas and the year-end shopping season. ,http://www.koreatimes.co.kr/www/tech/2018/12/133_260899.html
2018/12/24 17:11,Falling chip price to drag down Samsung's profit ,"Samsung Electronics is unlikely to post record-breaking earnings during the October-December period due to weakening memory chip prices and stagnating demand, market analysts said Monday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260883.html
2018/12/24 14:10,More countries considering Huawei ban ,"Huwei's hopes to â\dominate the marketâ\ for the next generation of mobile communications networks are threatened around the world as more countries see the company's devices as national security threats that must be removed. So far, the United States, Australia, New Zealand and Japan have barred the Chinese telecom equipment provider from taking part in their 5G infrastructure...",http://www.koreatimes.co.kr/www/tech/2018/12/133_260870.html
2018/12/23 17:00,KT begins public safety network project ,"KT has initiated a government-led public safety network project for providing enhanced safety measures in times of disaster, the company said Sunday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260835.html
